abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
accountsservice 25.34.76-2
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alsa-card-profiles 1:1.4.10-2
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
amd-ucode 20260221-1
aom 3.13.1-2
appstream 1.1.2-1
appstream-qt 1.1.2-1
archlinux-appstream-data 20260107-1
archlinux-keyring 20260301-1
ark 25.12.2-1
asciiquarium 1.1-7
at-spi2-core 2.58.3-1
attica 6.23.0-1
attr 2.5.2-1
audit 4.1.2-2
aurorae 6.6.2-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc3-1
ayatana-ido 0.10.4-1
baloo 6.23.0-1
baloo-widgets 25.12.2-1
base 3-3
base-devel 1-2
bash 5.3.9-1
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.6.2-1
bluez 5.86-4
bluez-libs 5.86-4
bluez-qt 6.23.0-1
bolt 0.9.10-1
boost-libs 1.89.0-4
breeze 6.6.2-1
breeze-cursors 6.6.2-1
breeze-gtk 6.6.2-1
breeze-icons 6.23.0-1
brotli 1.2.0-1
btop 1.4.6-1
btrfs-progs 6.19-1
bubblewrap 0.11.0-2
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.121-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cblas 3.12.1-2
cdparanoia 10.2-9
cifs-utils 7.4-1
clinfo 3.0.23.01.25-1
cmark 0.31.2-1
cmatrix 2.0-4
composefs 1.0.8-1
convertlit 1.8-13
coreutils 9.10-1
cronie 1.7.2-2
cryptsetup 2.8.4-1
curl 8.18.0-3
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
ddcutil 2.2.5-2
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
diffutils 3.12-2
discord 1:0.0.127-1
discount 3.0.1.2-1
discover 6.6.2-1
dkms 3.3.0-1
dmidecode 3.7-1
dolphin 25.12.2-1
double-conversion 3.4.0-1
drkonqi 6.6.2-1
duktape 2.7.0-7
e2fsprogs 1.47.3-2
ebook-tools 0.2.2-9
editorconfig-core-c 0.12.10-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.0.rc.r57.g1893c37-1
egl-x11 1.0.4-1
eglexternalplatform 1.2.1-1
elfutils 0.194-1
ell 0.82-1
exiv2 0.28.7-1
expat 2.7.4-1
fakeroot 1.37.2-1
fastfetch 2.59.0-1
ffmpeg 2:8.0.1-7
fftw 3.3.10-8
file 5.47-1
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 148.0-1
